Latitude (decimal degrees):	52.141
Longitude (decimal degrees):	-10.269
Elevation (m):	8
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200318:1911,0.0,0.0,0.0,5.86,3.79,0.0
20200318:2011,0.0,0.0,0.0,5.8,3.66,0.0
20200318:2111,0.0,0.0,0.0,5.71,3.52,0.0
20200318:2211,0.0,0.0,0.0,5.16,2.41,0.0
20200318:2311,0.0,0.0,0.0,4.97,2.83,0.0
20200319:0011,0.0,0.0,0.0,4.85,3.1,0.0
20200319:0111,0.0,0.0,0.0,4.72,3.17,0.0
20200319:0211,0.0,0.0,0.0,4.81,3.38,0.0
20200319:0311,0.0,0.0,0.0,4.82,3.24,0.0
20200319:0411,0.0,0.0,0.0,4.68,3.38,0.0
20200319:0511,0.0,0.0,0.0,4.9,3.79,0.0
20200319:0611,0.0,0.0,0.0,4.86,4.0,0.0
20200319:0711,2.73,11.37,2.85,4.79,4.0,0.0
20200319:0811,104.67,138.96,11.88,5.07,4.28,0.0
20200319:0911,226.08,269.55,20.34,5.79,4.48,0.0
20200319:1011,337.46,393.02,27.71,7.0,5.38,0.0
20200319:1111,495.27,572.66,33.38,7.54,6.0,0.0
20200319:1211,363.52,423.43,36.69,7.59,6.28,0.0
20200319:1311,493.14,570.17,37.12,7.91,6.9,0.0
20200319:1411,529.97,609.97,34.6,7.92,7.86,0.0
20200319:1511,301.65,352.54,29.53,7.95,8.62,0.0
20200319:1611,435.04,501.88,22.58,8.05,8.62,0.0
20200319:1711,199.1,246.41,14.38,7.82,8.62,0.0
20200319:1811,35.57,68.46,5.47,7.58,7.93,0.0
20200319:1911,0.0,0.0,0.0,6.73,7.66,0.0
20200319:2011,0.0,0.0,0.0,6.18,7.59,0.0
20200319:2111,0.0,0.0,0.0,5.75,7.59,0.0
20200319:2211,0.0,0.0,0.0,4.88,7.31,0.0
20200319:2311,0.0,0.0,0.0,4.44,7.17,0.0
20200320:0011,0.0,0.0,0.0,4.05,6.97,0.0
20200320:0111,0.0,0.0,0.0,3.66,6.69,0.0
20200320:0211,0.0,0.0,0.0,3.24,6.28,0.0
20200320:0311,0.0,0.0,0.0,2.98,6.07,0.0
20200320:0411,0.0,0.0,0.0,2.66,6.07,0.0
20200320:0511,0.0,0.0,0.0,2.74,6.21,0.0
20200320:0611,0.0,0.0,0.0,2.58,6.41,0.0
20200320:0711,5.37,15.74,3.21,2.57,6.48,0.0
20200320:0811,219.5,274.8,12.25,3.16,6.76,0.0
20200320:0911,437.11,499.86,20.71,4.07,6.9,0.0
20200320:1011,633.48,723.77,28.1,5.33,6.69,0.0
20200320:1111,724.37,837.58,33.78,6.35,6.48,0.0
20200320:1211,482.48,557.62,37.09,7.13,6.14,0.0
20200320:1311,120.22,153.9,37.51,7.81,5.72,0.0
20200320:1411,110.86,143.7,34.96,8.32,5.52,0.0
20200320:1511,118.75,152.89,29.86,8.85,5.52,0.0
20200320:1611,70.04,97.35,22.88,8.66,5.31,0.0
20200320:1711,50.95,75.01,14.66,8.37,5.17,0.0
20200320:1811,10.06,23.18,5.73,7.91,5.1,0.0
20200320:1911,0.0,0.0,0.0,7.11,4.97,0.0
20200320:2011,0.0,0.0,0.0,6.72,4.83,0.0
20200320:2111,0.0,0.0,0.0,6.34,4.55,0.0
20200320:2211,0.0,0.0,0.0,6.02,4.41,0.0
20200320:2311,0.0,0.0,0.0,5.85,4.55,0.0
20200321:0011,0.0,0.0,0.0,5.76,4.48,0.0
20200321:0111,0.0,0.0,0.0,5.66,4.41,0.0
20200321:0211,0.0,0.0,0.0,5.68,4.34,0.0
20200321:0311,0.0,0.0,0.0,5.71,4.41,0.0
20200321:0411,0.0,0.0,0.0,5.83,4.83,0.0
20200321:0511,0.0,0.0,0.0,5.87,4.97,0.0
20200321:0611,0.0,0.0,0.0,5.47,4.9,0.0
20200321:0711,1.36,8.74,3.57,5.43,4.9,0.0
20200321:0811,13.5,27.81,12.61,5.62,5.17,0.0
20200321:0911,22.62,39.87,21.09,5.8,5.1,0.0
20200321:1011,39.32,60.26,28.49,5.06,5.45,0.0
20200321:1111,51.72,75.1,34.18,5.82,5.31,0.0
20200321:1211,58.73,83.44,37.49,6.46,5.59,0.0
20200321:1311,45.91,68.61,37.9,6.92,4.34,0.0
20200321:1411,55.33,79.73,35.32,7.12,4.9,0.0
20200321:1511,29.82,49.14,30.19,7.02,4.83,0.0
20200321:1611,18.2,34.3,23.18,6.99,4.34,0.0
20200321:1711,33.58,53.77,14.94,6.94,4.0,0.0
20200321:1811,15.14,31.2,6.0,6.9,3.52,0.0
20200321:1911,0.0,0.0,0.0,6.59,3.17,0.0
20200321:2011,0.0,0.0,0.0,6.45,3.03,0.0
20200321:2111,0.0,0.0,0.0,6.44,3.03,0.0
20200321:2211,0.0,0.0,0.0,6.18,2.83,0.0
20200321:2311,0.0,0.0,0.0,6.19,3.1,0.0
20200322:0011,0.0,0.0,0.0,6.16,3.31,0.0
20200322:0111,0.0,0.0,0.0,6.23,3.45,0.0
20200322:0211,0.0,0.0,0.0,6.41,3.45,0.0
20200322:0311,0.0,0.0,0.0,6.31,3.1,0.0
20200322:0411,0.0,0.0,0.0,6.07,2.69,0.0
20200322:0511,0.0,0.0,0.0,6.2,2.48,0.0
20200322:0611,0.0,0.0,0.0,6.31,2.55,0.0
20200322:0711,2.7,11.37,3.93,5.9,2.97,0.0
20200322:0811,43.43,65.67,12.98,6.46,3.79,0.0
20200322:0911,121.48,154.94,21.46,7.09,4.0,0.0
20200322:1011,106.66,139.07,28.88,7.99,3.59,0.0
20200322:1111,549.32,647.83,34.58,8.78,3.66,0.0
20200322:1211,677.0,806.08,37.89,9.56,4.21,0.0
20200322:1311,776.65,933.85,38.28,10.07,4.41,0.0
20200322:1411,640.32,761.99,35.68,10.04,4.07,0.0
20200322:1511,393.32,464.88,30.52,10.27,4.14,0.0
20200322:1611,317.13,377.36,23.48,10.1,4.28,0.0
20200322:1711,205.54,257.6,15.21,9.88,4.48,0.0
20200322:1811,45.86,82.65,6.27,9.11,4.21,0.0
20200322:1911,0.0,0.0,0.0,8.08,4.14,0.0
20200322:2011,0.0,0.0,0.0,7.68,4.34,0.0
20200322:2111,0.0,0.0,0.0,7.07,4.48,0.0
20200322:2211,0.0,0.0,0.0,6.46,5.24,0.0
20200322:2311,0.0,0.0,0.0,5.81,5.72,0.0
20200323:0011,0.0,0.0,0.0,5.57,5.45,0.0
20200323:0111,0.0,0.0,0.0,5.47,5.59,0.0
20200323:0211,0.0,0.0,0.0,5.49,5.86,0.0
20200323:0311,0.0,0.0,0.0,6.1,6.07,0.0
20200323:0411,0.0,0.0,0.0,6.53,6.14,0.0
20200323:0511,0.0,0.0,0.0,6.49,6.41,0.0
20200323:0611,0.0,0.0,0.0,6.72,6.55,0.0
20200323:0711,0.55,7.0,4.29,7.0,6.28,0.0
20200323:0811,26.83,45.43,13.34,7.32,6.28,0.0
20200323:0911,172.49,211.8,21.84,8.0,6.07,0.0
20200323:1011,131.92,167.46,29.26,8.82,6.41,0.0
20200323:1111,169.47,209.97,34.98,9.6,7.31,0.0
20200323:1211,86.68,116.82,38.3,9.75,7.38,0.0
20200323:1311,307.92,363.53,38.67,9.67,8.28,0.0
20200323:1411,172.77,213.67,36.04,9.73,7.86,0.0
20200323:1511,258.84,308.34,30.85,9.76,8.14,0.0
20200323:1611,89.89,120.38,23.78,9.68,8.07,0.0
20200323:1711,0.0,0.0,0.0,9.37,7.38,0.0
20200323:1811,26.24,48.24,6.53,9.15,7.03,0.0
20200323:1911,0.0,0.0,0.0,8.88,7.03,0.0
20200323:2011,0.0,0.0,0.0,8.77,7.1,0.0
20200323:2111,0.0,0.0,0.0,8.66,7.31,0.0
20200323:2211,0.0,0.0,0.0,8.14,7.93,0.0
20200323:2311,0.0,0.0,0.0,8.16,8.14,0.0
20200324:0011,0.0,0.0,0.0,8.3,8.28,0.0
20200324:0111,0.0,0.0,0.0,8.41,8.41,0.0
20200324:0211,0.0,0.0,0.0,8.47,8.48,0.0
20200324:0311,0.0,0.0,0.0,8.51,8.34,0.0
20200324:0411,0.0,0.0,0.0,8.73,8.28,0.0
20200324:0511,0.0,0.0,0.0,8.69,8.41,0.0
20200324:0611,0.0,0.0,0.0,8.8,8.48,0.0
20200324:0711,0.91,7.87,4.65,8.98,8.55,0.0
20200324:0811,115.09,152.2,13.71,9.36,8.48,0.0
20200324:0911,76.86,105.51,22.21,9.84,8.48,0.0
20200324:1011,74.57,102.91,29.65,10.04,10.14,0.0
20200324:1111,90.61,121.45,35.38,10.37,10.21,0.0
20200324:1211,82.45,112.18,38.7,10.48,9.72,0.0
20200324:1311,107.74,140.92,39.06,10.25,9.45,0.0
20200324:1411,80.87,110.33,36.4,10.31,9.03,0.0
20200324:1511,76.86,105.69,31.17,10.25,8.69,0.0
20200324:1611,97.78,129.48,24.07,10.13,9.38,0.0
20200324:1711,36.16,57.48,15.77,9.92,9.1,0.0
20200324:1811,9.96,23.18,6.8,9.82,8.55,0.0
20200324:1911,0.0,0.0,0.0,9.75,8.41,0.0
20200324:2011,0.0,0.0,0.0,9.88,8.28,0.0
20200324:2111,0.0,0.0,0.0,10.01,8.07,0.0
20200324:2211,0.0,0.0,0.0,9.86,7.59,0.0
20200324:2311,0.0,0.0,0.0,9.79,7.66,0.0
20200325:0011,0.0,0.0,0.0,9.78,7.66,0.0
20200325:0111,0.0,0.0,0.0,9.62,7.52,0.0
20200325:0211,0.0,0.0,0.0,9.53,7.31,0.0
20200325:0311,0.0,0.0,0.0,9.54,7.17,0.0
20200325:0411,0.0,0.0,0.0,9.75,6.97,0.0
20200325:0511,0.0,0.0,0.0,9.71,6.76,0.0
20200325:0611,0.0,0.0,0.0,9.67,6.41,0.0
20200325:0711,12.09,26.23,5.01,9.63,6.07,0.0
20200325:0811,45.01,68.35,14.07,9.82,5.93,0.0
20200325:0911,42.93,65.82,22.59,10.14,6.48,0.0
20200325:1011,258.12,309.2,30.04,10.51,6.76,0.0
20200325:1111,278.55,333.42,35.78,10.98,6.62,0.0
20200325:1211,352.18,417.71,39.1,11.17,6.21,0.0
20200325:1311,475.83,562.15,39.44,11.54,5.79,0.0
20200325:1411,271.86,328.19,36.76,11.5,4.76,0.0
20200325:1511,269.24,325.9,31.5,11.61,3.59,0.0
20200325:1611,155.28,196.18,24.37,10.89,2.69,0.0
20200325:1711,57.75,83.91,16.04,10.31,2.07,0.0
20200325:1811,13.18,27.81,7.06,9.75,2.0,0.0
20200325:1911,0.0,0.0,0.0,9.02,2.41,0.0
20200325:2011,0.0,0.0,0.0,8.96,2.48,0.0
20200325:2111,0.0,0.0,0.0,8.72,2.28,0.0
20200325:2211,0.0,0.0,0.0,8.63,2.07,0.0
20200325:2311,0.0,0.0,0.0,8.4,2.9,0.0
20200326:0011,0.0,0.0,0.0,8.08,3.17,0.0
20200326:0111,0.0,0.0,0.0,8.07,3.24,0.0
20200326:0211,0.0,0.0,0.0,8.1,3.03,0.0
20200326:0311,0.0,0.0,0.0,8.06,2.9,0.0
20200326:0411,0.0,0.0,0.0,7.92,2.9,0.0
20200326:0511,0.0,0.0,0.0,7.73,3.03,0.0
20200326:0611,0.0,0.0,0.0,7.64,3.1,0.0
20200326:0711,12.22,26.23,5.37,7.42,3.17,0.0
20200326:0811,161.41,207.03,14.44,7.75,3.31,0.0
20200326:0911,399.04,471.57,22.96,8.54,3.52,0.0
20200326:1011,529.48,630.28,30.43,9.8,2.83,0.0
20200326:1111,694.59,846.85,36.18,10.56,2.48,0.0
20200326:1211,766.11,939.31,39.5,11.33,3.17,0.0
20200326:1311,787.83,966.58,39.83,12.05,3.66,0.0
20200326:1411,744.7,901.99,37.11,11.83,4.14,0.0
20200326:1511,632.93,753.71,31.82,11.55,4.62,0.0
20200326:1611,469.66,555.71,24.66,11.42,5.24,0.0
20200326:1711,228.68,286.15,16.31,11.24,4.97,0.0
20200326:1811,53.78,94.34,7.32,10.85,4.55,0.0
20200326:1911,0.0,0.0,0.0,10.4,4.41,0.0
20200326:2011,0.0,0.0,0.0,10.21,4.34,0.0
20200326:2111,0.0,0.0,0.0,10.14,4.21,0.0
20200326:2211,0.0,0.0,0.0,8.95,3.31,0.0
20200326:2311,0.0,0.0,0.0,8.55,3.45,0.0
20200327:0011,0.0,0.0,0.0,8.24,3.38,0.0
20200327:0111,0.0,0.0,0.0,7.53,3.24,0.0
20200327:0211,0.0,0.0,0.0,6.77,3.31,0.0
20200327:0311,0.0,0.0,0.0,6.07,3.45,0.0
20200327:0411,0.0,0.0,0.0,5.62,3.38,0.0
20200327:0511,0.0,0.0,0.0,5.56,3.45,0.0
20200327:0611,0.0,0.0,0.0,5.38,3.59,0.0
20200327:0711,14.92,29.73,5.73,5.28,3.93,0.0
20200327:0811,217.87,272.61,14.8,6.04,4.62,0.0
20200327:0911,431.82,503.3,23.33,7.08,4.9,0.0
20200327:1011,602.24,708.86,30.81,8.4,3.93,0.0
20200327:1111,750.0,900.38,36.58,9.66,4.0,0.0
20200327:1211,783.58,943.1,39.9,10.57,4.76,0.0
20200327:1311,800.35,965.7,40.21,11.33,5.1,0.0
20200327:1411,729.87,874.23,37.47,11.84,5.38,0.0
20200327:1511,635.18,755.28,32.14,12.3,5.52,0.0
20200327:1611,465.91,553.19,24.95,12.34,5.52,0.0
20200327:1711,246.02,307.82,16.59,12.21,5.45,0.0
20200327:1811,54.98,95.46,7.59,11.69,5.66,0.0
20200327:1911,0.0,0.0,0.0,10.93,5.86,0.0
20200327:2011,0.0,0.0,0.0,10.69,5.86,0.0
20200327:2111,0.0,0.0,0.0,10.12,5.66,0.0
20200327:2211,0.0,0.0,0.0,8.86,6.07,0.0
20200327:2311,0.0,0.0,0.0,8.25,5.79,0.0
20200328:0011,0.0,0.0,0.0,7.63,5.66,0.0
20200328:0111,0.0,0.0,0.0,7.28,5.66,0.0
20200328:0211,0.0,0.0,0.0,7.13,5.86,0.0
20200328:0311,0.0,0.0,0.0,7.0,6.14,0.0
20200328:0411,0.0,0.0,0.0,6.86,6.28,0.0
20200328:0511,0.0,0.0,0.0,6.77,6.34,0.0
20200328:0611,0.0,0.0,0.0,6.65,6.62,0.0
20200328:0711,15.47,30.61,6.08,6.66,7.17,0.0
20200328:0811,247.5,308.68,15.16,7.35,7.1,0.0
20200328:0911,480.01,556.01,23.71,8.15,7.79,0.0
20200328:1011,111.86,144.63,31.2,8.56,8.69,0.0
20200328:1111,662.45,768.48,36.97,9.78,8.83,0.0
20200328:1211,612.57,712.71,40.3,10.32,8.83,0.0
20200328:1311,443.63,519.33,40.6,10.95,8.41,0.0
20200328:1411,256.53,308.32,37.82,10.89,7.93,0.0
20200328:1511,182.31,225.42,32.46,11.02,7.59,0.0
20200328:1611,381.67,448.93,25.24,10.94,7.52,0.0
20200328:1711,280.52,345.62,16.86,10.57,7.52,0.0
20200328:1811,65.2,113.24,7.85,9.87,7.17,0.0
20200328:1911,0.0,0.0,0.0,9.26,6.9,0.0
20200328:2011,0.0,0.0,0.0,8.74,6.41,0.0
20200328:2111,0.0,0.0,0.0,8.34,6.41,0.0
20200328:2211,0.0,0.0,0.0,7.6,7.45,0.0
20200328:2311,0.0,0.0,0.0,6.97,7.1,0.0
20200329:0011,0.0,0.0,0.0,6.35,7.17,0.0
20200329:0111,0.0,0.0,0.0,5.73,7.24,0.0
20200329:0211,0.0,0.0,0.0,5.13,7.17,0.0
20200329:0311,0.0,0.0,0.0,4.52,7.45,0.0
20200329:0411,0.0,0.0,0.0,4.05,7.45,0.0
20200329:0511,0.0,0.0,0.0,4.02,7.52,0.0
20200329:0611,0.0,0.0,0.0,3.65,7.66,0.0
20200329:0711,35.4,65.54,6.44,3.64,7.59,0.0
20200329:0811,240.0,294.14,15.52,4.15,7.38,0.0
20200329:0911,502.38,571.62,24.08,4.7,8.41,0.0
20200329:1011,665.72,760.4,31.58,5.56,7.31,0.0
20200329:1111,810.38,941.54,37.37,6.22,6.62,0.0
20200329:1211,871.8,1023.78,40.69,6.81,6.48,0.0
20200329:1311,881.68,1037.21,40.98,7.45,6.83,0.0
20200329:1411,840.57,985.13,38.18,7.78,6.9,0.0
20200329:1511,672.85,780.22,32.78,8.0,6.69,0.0
20200329:1611,517.17,599.51,25.53,8.04,6.55,0.0
20200329:1711,291.17,354.42,17.13,7.9,6.69,0.0
20200329:1811,70.0,119.45,8.11,7.47,6.48,0.0
20200329:1911,0.0,0.0,0.0,6.78,5.93,0.0
20200329:2011,0.0,0.0,0.0,6.02,6.07,0.0
20200329:2111,0.0,0.0,0.0,5.03,6.0,0.0
20200329:2211,0.0,0.0,0.0,3.84,5.93,0.0
20200329:2311,0.0,0.0,0.0,3.5,5.86,0.0
20200330:0011,0.0,0.0,0.0,3.19,6.14,0.0
20200330:0111,0.0,0.0,0.0,2.89,5.93,0.0
20200330:0211,0.0,0.0,0.0,2.74,5.59,0.0
20200330:0311,0.0,0.0,0.0,2.55,5.17,0.0
20200330:0411,0.0,0.0,0.0,2.53,4.97,0.0
20200330:0511,0.0,0.0,0.0,2.98,5.1,0.0
20200330:0611,0.0,0.0,0.0,3.38,5.03,0.0
20200330:0711,37.72,68.86,6.8,4.09,5.17,0.0
20200330:0811,200.63,248.93,15.88,5.48,5.52,0.0
20200330:0911,259.22,305.8,24.45,6.44,6.28,0.0
20200330:1011,106.49,138.14,31.96,7.49,6.83,0.0
20200330:1111,118.68,152.05,37.76,8.03,7.79,0.0
20200330:1211,105.99,138.14,41.09,8.7,8.21,0.0
20200330:1311,178.33,219.34,41.36,8.97,8.07,0.0
20200330:1411,387.28,450.51,38.53,8.83,8.48,0.0
20200330:1511,469.09,541.26,33.1,8.77,8.69,0.0
20200330:1611,329.58,385.24,25.82,8.7,8.69,0.0
20200330:1711,183.44,227.81,17.39,8.51,8.14,0.0
20200330:1811,42.25,69.21,8.37,8.34,7.45,0.0
20200330:1911,0.0,0.0,0.0,8.13,7.24,0.0
20200330:2011,0.0,0.0,0.0,7.89,7.03,0.0
20200330:2111,0.0,0.0,0.0,7.31,6.76,0.0
20200330:2211,0.0,0.0,0.0,7.03,6.97,0.0
20200330:2311,0.0,0.0,0.0,6.87,6.69,0.0
20200331:0011,0.0,0.0,0.0,6.58,6.34,0.0
20200331:0111,0.0,0.0,0.0,6.39,6.21,0.0
20200331:0211,0.0,0.0,0.0,6.13,6.14,0.0
20200331:0311,0.0,0.0,0.0,5.8,6.07,0.0
20200331:0411,0.0,0.0,0.0,5.29,5.86,0.0
20200331:0511,0.0,0.0,0.0,5.06,5.66,0.0
20200331:0611,0.0,0.0,0.0,4.87,5.52,0.0
20200331:0711,33.78,58.65,7.15,4.85,5.72,0.0
20200331:0811,229.05,282.68,16.24,5.8,5.93,0.0
20200331:0911,475.38,550.07,24.82,6.63,5.86,0.0
20200331:1011,601.71,696.62,32.35,7.3,5.79,0.0
20200331:1111,623.87,726.09,38.16,8.29,6.28,0.0
20200331:1211,772.21,909.75,41.48,9.09,6.55,0.0
20200331:1311,845.9,1003.88,41.74,9.35,6.48,0.0
20200331:1411,299.27,355.4,38.88,9.6,6.28,0.0
20200331:1511,482.7,563.91,33.41,9.79,6.14,0.0
20200331:1611,484.35,566.63,26.11,9.52,5.93,0.0
20200331:1711,217.07,268.61,17.66,9.29,5.72,0.0
20200331:1811,72.39,123.96,8.62,9.03,5.45,0.0
20200331:1911,0.0,0.0,0.0,8.46,5.38,0.0
20200331:2011,0.0,0.0,0.0,7.85,5.52,0.0
20200331:2111,0.0,0.0,0.0,7.82,5.59,0.0
20200331:2211,0.0,0.0,0.0,7.27,5.03,0.0
20200331:2311,0.0,0.0,0.0,7.04,4.97,0.0
20200401:0011,0.0,0.0,0.0,6.9,4.76,0.0
20200401:0111,0.0,0.0,0.0,6.62,4.55,0.0
20200401:0211,0.0,0.0,0.0,6.29,4.41,0.0
20200401:0311,0.0,0.0,0.0,6.26,4.28,0.0
20200401:0411,0.0,0.0,0.0,6.26,3.93,0.0
20200401:0511,0.0,0.0,0.0,6.29,3.79,0.0
20200401:0611,0.0,0.0,0.0,5.91,3.86,0.0
20200401:0711,29.9,51.98,7.51,6.42,3.79,0.0
20200401:0811,110.87,144.68,16.6,7.24,4.0,0.0
20200401:0911,147.37,184.12,25.18,7.69,4.9,0.0
20200401:1011,367.75,430.75,32.73,8.2,4.9,0.0
20200401:1111,301.38,357.28,38.55,8.48,4.83,0.0
20200401:1211,640.44,752.76,41.88,8.63,5.24,0.0
20200401:1311,178.66,220.22,42.12,8.8,5.59,0.0
20200401:1411,494.73,576.47,39.22,8.83,6.14,0.0
20200401:1511,330.43,388.76,33.73,9.04,6.21,0.0
20200401:1611,236.02,283.14,26.39,8.94,6.34,0.0
20200401:1711,201.51,249.49,17.93,8.76,6.14,0.0
20200401:1811,32.32,53.83,8.88,8.4,5.79,0.0
20200401:1911,0.0,0.0,0.0,8.03,4.83,0.0
20200401:2011,0.0,0.0,0.0,7.81,3.86,0.0
20200401:2111,0.0,0.0,0.0,7.46,2.83,0.0
20200401:2211,0.0,0.0,0.0,7.04,2.76,0.0
20200401:2311,0.0,0.0,0.0,7.13,2.76,0.0
20200402:0011,0.0,0.0,0.0,7.59,3.45,0.0
20200402:0111,0.0,0.0,0.0,7.72,4.14,0.0
20200402:0211,0.0,0.0,0.0,7.87,4.41,0.0
20200402:0311,0.0,0.0,0.0,8.18,4.69,0.0
20200402:0411,0.0,0.0,0.0,8.27,4.83,0.0
20200402:0511,0.0,0.0,0.0,8.09,4.76,0.0
20200402:0611,0.0,0.0,0.0,8.12,4.83,0.0
20200402:0711,36.04,61.69,7.86,8.14,5.17,0.0
20200402:0811,187.68,235.66,16.95,8.66,5.72,0.0
20200402:0911,360.53,423.47,25.55,9.05,6.07,0.0
20200402:1011,432.17,506.61,33.11,9.66,5.38,0.0
20200402:1111,394.12,464.58,38.94,10.0,5.38,0.0
20200402:1211,363.04,429.0,42.27,10.2,6.14,0.0
20200402:1311,380.12,447.96,42.49,10.23,6.55,0.0
20200402:1411,157.58,197.23,39.57,9.88,6.62,0.0
20200402:1511,275.23,328.42,34.04,10.07,6.55,0.0
20200402:1611,233.68,281.19,26.68,9.65,6.76,0.0
20200402:1711,109.8,143.7,18.19,9.51,6.9,0.0
20200402:1811,30.04,50.49,9.14,9.39,6.83,0.0
20200402:1911,0.0,0.0,0.0,8.82,6.69,0.0
20200402:2011,0.0,0.0,0.0,8.66,5.52,0.0
20200402:2111,0.0,0.0,0.0,8.55,4.28,0.0
20200402:2211,0.0,0.0,0.0,8.3,3.72,0.0
20200402:2311,0.0,0.0,0.0,8.4,3.66,0.0
20200403:0011,0.0,0.0,0.0,8.39,3.72,0.0
20200403:0111,0.0,0.0,0.0,7.96,3.93,0.0
20200403:0211,0.0,0.0,0.0,8.08,4.21,0.0
20200403:0311,0.0,0.0,0.0,7.98,4.48,0.0
20200403:0411,0.0,0.0,0.0,7.8,4.34,0.0
20200403:0511,0.0,0.0,0.0,7.75,3.86,0.0
20200403:0611,0.0,0.0,0.0,7.4,2.9,0.0
20200403:0711,26.85,46.62,8.21,7.12,2.28,0.0
20200403:0811,87.1,117.54,17.31,8.05,1.93,0.0
20200403:0911,108.77,142.12,25.91,8.96,2.9,0.0
20200403:1011,110.75,144.63,33.48,9.56,3.66,0.0
20200403:1111,157.35,197.22,39.33,9.52,4.55,0.0
20200403:1211,257.73,309.75,42.66,9.48,5.31,0.0
20200403:1311,331.76,392.14,42.87,9.08,5.66,0.0
20200403:1411,338.32,399.68,39.91,9.31,5.52,0.0
20200403:1511,194.49,238.22,34.35,9.28,5.17,0.0
20200403:1611,167.94,208.5,26.96,9.23,4.41,0.0
20200403:1711,95.77,127.51,18.46,9.07,4.28,0.0
20200403:1811,47.92,75.96,9.39,8.6,3.86,0.0
20200403:1911,0.0,0.0,0.0,8.25,3.1,0.0
20200403:2011,0.0,0.0,0.0,7.97,2.97,0.0
20200403:2111,0.0,0.0,0.0,7.84,3.17,0.0
20200403:2211,0.0,0.0,0.0,7.44,4.0,0.0
20200403:2311,0.0,0.0,0.0,7.29,4.28,0.0
20200404:0011,0.0,0.0,0.0,7.36,4.41,0.0
20200404:0111,0.0,0.0,0.0,7.33,4.55,0.0
20200404:0211,0.0,0.0,0.0,7.29,4.62,0.0
20200404:0311,0.0,0.0,0.0,7.4,4.76,0.0
20200404:0411,0.0,0.0,0.0,7.37,5.1,0.0
20200404:0511,0.0,0.0,0.0,7.4,5.24,0.0
20200404:0611,0.0,0.0,0.0,7.41,5.38,0.0
20200404:0711,1.59,9.27,8.56,7.7,5.72,0.0
20200404:0811,23.76,41.72,17.66,8.42,5.93,0.0
20200404:0911,44.66,67.68,26.27,9.37,7.66,0.0
20200404:1011,117.83,152.05,33.86,9.71,8.9,0.0
20200404:1111,150.18,189.13,39.72,10.82,10.21,0.0
20200404:1211,252.73,304.33,43.05,11.35,10.21,0.0
20200404:1311,204.44,251.03,43.24,11.89,10.21,0.0
20200404:1411,157.43,198.13,40.26,11.93,10.41,0.0
20200404:1511,154.29,194.79,34.66,12.3,10.48,0.0
20200404:1611,277.31,331.97,27.24,12.29,10.34,0.0
20200404:1711,265.23,328.11,18.72,12.13,8.55,0.0
20200404:1811,71.81,118.28,9.65,11.74,7.79,0.0
20200404:1911,0.0,0.0,0.0,11.27,8.14,0.0
20200404:2011,0.0,0.0,0.0,10.99,8.14,0.0
20200404:2111,0.0,0.0,0.0,10.81,8.21,0.0
20200404:2211,0.0,0.0,0.0,10.52,8.55,0.0
20200404:2311,0.0,0.0,0.0,10.41,8.83,0.0
20200405:0011,0.0,0.0,0.0,10.34,9.03,0.0
20200405:0111,0.0,0.0,0.0,10.21,9.45,0.0
20200405:0211,0.0,0.0,0.0,10.17,9.31,0.0
20200405:0311,0.0,0.0,0.0,10.3,8.97,0.0
20200405:0411,0.0,0.0,0.0,10.38,8.76,0.0
20200405:0511,0.0,0.0,0.0,10.54,9.03,0.0
20200405:0611,0.0,0.0,0.0,10.92,9.45,0.0
20200405:0711,1.54,9.27,8.9,11.01,9.86,0.0
20200405:0811,93.59,125.64,18.01,10.92,10.34,0.0
20200405:0911,17.8,34.3,26.63,11.5,11.17,0.0
20200405:1011,34.39,55.63,34.23,11.49,11.79,0.0
20200405:1111,88.43,119.6,40.1,11.77,11.31,0.0
20200405:1211,68.2,96.42,43.44,12.38,11.24,0.0
20200405:1311,111.37,146.48,43.61,12.79,10.62,0.0
20200405:1411,57.88,84.37,40.6,12.61,9.93,0.0
20200405:1511,95.35,127.94,34.96,12.3,9.1,0.0
20200405:1611,47.23,71.39,27.52,11.69,8.48,0.0
20200405:1711,56.7,82.51,18.98,11.2,9.31,0.0
20200405:1811,11.19,25.03,9.9,10.68,9.72,0.0
20200405:1911,0.0,0.0,0.0,9.78,9.93,0.0
20200405:2011,0.0,0.0,0.0,9.3,9.93,0.0
20200405:2111,0.0,0.0,0.0,9.29,9.79,0.0
20200405:2211,0.0,0.0,0.0,8.92,9.03,0.0
20200405:2311,0.0,0.0,0.0,8.97,9.45,0.0
20200406:0011,0.0,0.0,0.0,8.74,9.72,0.0
20200406:0111,0.0,0.0,0.0,8.77,9.1,0.0
20200406:0211,0.0,0.0,0.0,8.7,8.62,0.0
20200406:0311,0.0,0.0,0.0,8.24,8.41,0.0
20200406:0411,0.0,0.0,0.0,8.09,7.86,0.0
20200406:0511,0.0,0.0,0.0,7.99,7.38,0.0
20200406:0611,0.0,0.0,0.0,7.99,6.76,0.0
20200406:0711,48.67,78.55,9.25,8.46,6.41,0.0
20200406:0811,157.55,199.1,18.36,9.0,6.41,0.0
